File,MRR,Total_Tokens,Predicted_Tokens
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16603.java.tokens,0.7017819706498951,54,54
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16601.java.tokens,0.7702020202020202,67,67
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16611.java.tokens,0.9090909090909091,12,12
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16607.java.tokens,0.7868589743589743,27,27
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16608.java.tokens,0.9285714285714286,8,8
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16605.java.tokens,0.7734877734877735,38,38
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/gradle/16599.java.tokens,0.8051146384479717,55,55
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/adapter/16520.java.tokens,0.9444444444444444,19,19
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/adapter/16514.java.tokens,0.7379829290206649,107,107
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/adapter/16516.java.tokens,1.0,11,11
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/adapter/16519.java.tokens,0.8571428571428571,22,22
/data/ccasal/CodeNLP/DiverseJavaNames/gradle___gradle/subprojects/tooling-api/src/main/java/org/gradle/tooling/internal/adapter/16515.java.tokens,0.6206937095825985,82,82
